id,name,lat,lng,flg_atm,flg_bicicletario,flg_elevador,flg_linha1,flg_linha2,obs,flg_ativa,status,data_inc,flg_linha4,integra_trem,integra_onibus,integra_brt,corredor,integra_vlt,onibus,flg_metro_superficie,metro_superficie,data_inauguracao
1,Pavuna,-22.8066325167045,-43.36489033444,1,1,1,0,1,,1,,,0,1,0,0,,0,,0,,1998
2,Engenheiro Rubens Paiva,-22.8162787979139,-43.3584943331643,1,1,1,0,1,,1,,,0,0,0,0,,0,,0,,1998
3,Acari / Fazenda Botafogo,-22.8245310831249,-43.3496846039105,0,0,0,0,1,,1,,,0,0,0,0,,0,,0,,1998
4,Coelho Neto,-22.8314878662837,-43.3432986639537,1,0,0,0,1,,1,,,0,0,0,0,,0,,0,,1998
5,Colégio,-22.8426977853593,-43.333903134844,1,1,0,0,1,,1,,,0,0,0,0,,0,,0,,1998
6,Irajá,-22.8479629832599,-43.3233352793643,1,1,1,0,1,,1,,,0,0,0,0,,0,,0,,1998
7,Vicente de Carvalho,-22.8540760304285,-43.3131017915086,1,1,0,0,1,,1,,,0,0,0,1,Transcarioca,0,,0,,1996
8,Tomaz Coelho,-22.8624161689645,-43.3068039853629,0,0,1,0,1,,1,,,0,0,0,0,,0,,0,,1996
9,Engenho da Rainha,-22.8678628009437,-43.2974495703964,1,0,0,0,1,,1,,,0,0,0,0,,0,,0,,1991
10,Inhauma,-22.8745712448401,-43.2834110677134,1,1,1,0,1,,1,,,0,0,0,0,,0,,0,,1983
11,Del Castilho,-22.8792992805143,-43.2718952032537,1,0,1,0,1,,1,,,0,0,1,0,,0,"Fundão, Jacarepaguá, Barra",0,,1983
12,Maria da Graça,-22.8815545826037,-43.2603252210979,1,0,0,0,1,,1,,,0,0,0,0,,0,,0,,1983
13,Triagem,-22.896965255789,-43.2443761291798,1,1,0,0,1,,1,,,0,1,0,0,,0,,0,,1988
14,Maracanã,-22.9097546329964,-43.2339116631641,1,0,0,0,1,,1,,,0,1,0,0,,0,,0,,1981
15,São Cristóvão,-22.909726778668,-43.2219490327628,1,0,0,0,1,,1,,,0,1,0,0,,0,,0,,1981
16,Estácio,-22.9133882832691,-43.2066295948175,1,1,1,1,0,Estação de transferência entre as Linhas 1 e 2,1,,,0,0,1,0,,0,"Caju, Rodoviária",0,,1980
17,Saens Peña,-22.9239788122305,-43.2323423097019,1,0,1,1,0,,1,,,0,0,1,0,,0,"Usina, Muda, Grajaú, Andaraí",0,,1982
18,São Francisco Xavier,-22.9205255632282,-43.2239290360535,1,1,0,1,0,,1,,,0,0,1,0,,0,"Vila Isabel, Méier",0,,1982
19,Afonso Pena,-22.9180042257118,-43.2180912540469,1,0,0,1,0,,1,,,0,0,0,0,,0,,0,,1982
20,Central,-22.9047276392423,-43.1916221223171,1,0,0,1,1,Estação com Posto de Gratuidade,1,,,0,1,0,0,,0,,0,,1979
21,Presidente Vargas,-22.9032368866404,-43.1861641776738,1,0,0,1,1,,1,,,0,0,0,0,,0,,0,,1979
22,Uruguaiana,-22.9033391232942,-43.1815141942585,1,0,0,1,1,,1,,,0,0,0,0,,0,,0,,1980
23,Carioca,-22.9073539237349,-43.1775964927425,1,0,1,1,1,Estação com Achados e Perdidos,1,,,0,0,0,0,,1,,0,,1981
24,Cinelândia,-22.9116146964539,-43.1753883642453,1,0,0,1,1,,1,,,0,0,0,0,,1,,0,,1979
25,Glória,-22.9199977499788,-43.1767793041854,1,1,0,1,1,,1,,,0,0,0,0,,0,,0,,1979
26,Catete,-22.9258828460598,-43.1766625603131,1,1,0,1,1,,1,,,0,0,0,0,,0,,0,,1981
27,Largo do Machado,-22.9311474919787,-43.1778424791603,1,0,1,1,1,,1,,,0,0,1,0,,0,"Laranjeiras, Cosme Velho, Rodoviária",0,,1981
28,Flamengo,-22.9376363772005,-43.178982141541,1,0,1,1,1,,1,,,0,0,0,0,,0,,0,,1981
29,Botafogo,-22.9512120059572,-43.1838789125393,1,0,1,1,1,,1,,,0,0,1,0,,0,Urca,1,Gávea,1981
30,Cardeal Arcoverde,-22.9646038663529,-43.1809934097358,1,0,0,1,0,,1,,,0,0,0,0,,0,,0,,1998
31,Siqueira Campos,-22.9671782200558,-43.1866698541734,1,1,0,1,0,,1,,,0,0,0,0,,0,,0,,2003
32,Praca Onze,-22.9099153205396,-43.2003118552133,1,0,0,1,0,,1,,,0,0,0,0,,0,,0,,1979
33,Cantagalo,-22.9766844318278,-43.1938622987828,1,1,1,1,0,,1,,,0,0,0,0,,0,,0,,2007
34,Cidade Nova,-22.908759239679,-43.2062701872024,1,0,1,0,1,,1,,,0,0,0,0,,0,,0,,2009
35,Ipanema / General Osório,-22.9847680800919,-43.1971780431207,1,1,0,1,0,,1,,,1,0,0,0,,0,,1,Gávea,2009
36,Uruguai,-22.9315799326773,-43.2397691483269,0,1,0,1,0,,1,,,0,0,0,0,,0,,0,,2014
37,Nossa Senhora da Paz,-22.9838098328635,-43.206847096893,1,,1,0,0,Nova Linha 4,1,,,1,0,0,0,,0,,0,,2016
38,Jardim de Alah,-22.9828478098607,-43.2146670482888,1,,1,0,0,Nova Linha 4,1,,,1,0,0,0,,0,,0,,2016
39,Antero de Quental,-22.9851025708408,-43.2232383440565,1,,1,0,0,Nova Linha 4,1,,,1,0,0,0,,0,,0,,2016
40,São Conrado,-22.9921377334545,-43.2540390666458,1,,,0,0,Nova Linha 4,1,,,1,0,0,0,,0,,0,,2016
41,Jardim Oceânico,-23.0068072192471,-43.3109383324344,1,,1,0,0,Nova Linha 4,1,,,1,0,0,1,Transoeste,0,,0,,2016
